"H40-BPAR-6","CASEID","FAM-1B","FAM-2A","HGC-MOTHER","HGC-FATHER","FAM-28A","R_REL-1_COL","R_REL-3","Q9-72","Q3-3","Q3-4","MIL-6","Q13-5","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","URBAN-RURAL","MARSTAT-KEY","FAMSIZE","TNFI_TRUNC","POVSTATUS","DELIN-1","DELIN-3","DELIN-4","DELIN-5","DELIN-6","DELIN-7","DELIN-8","DELIN-9","DELIN-10","DELIN-11","DELIN-12","DELIN-13","DELIN-14","DELIN-15","DELIN-18","POLICE-1","POLICE-6","POLICE-7","Q12-4","DRUG-22","DRUG-26","DRUG-32"
1,78,21,1,16,18,2,7,5,0,16,15,0,700,5,3,2,1,0,5,32000,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0
1,79,18,1,16,18,2,7,4,0,13,12,0,1300,1,3,1,1,0,5,35000,0,-4,-4,2,0,0,0,0,0,0,0,5,0,0,0,0,0,-4,-4,0,0,1,0
1,80,15,1,14,20,5,7,4,0,9,8,-4,-4,1,3,1,1,0,4,-1,-3,0,6,2,2,2,0,0,0,3,0,4,0,0,0,0,0,-4,-4,3,-5,-5,-5
1,81,14,1,12,20,5,7,6,0,8,7,-4,-4,1,3,1,1,0,4,-1,-3,0,3,2,0,0,0,0,0,0,5,0,3,0,0,0,0,-4,-4,0,-5,-5,-5
1,82,20,2,-2,-2,6,-2,1,0,12,11,0,3300,3,2,1,1,0,8,-1,-3,-4,-4,0,2,1,0,0,0,1,0,6,0,0,0,0,1,0,0,-5,-5,-5,-5
0,83,18,1,6,-2,3,2,1,0,10,9,0,-2,3,2,1,1,0,7,22426,0,-4,-4,1,1,0,0,1,0,6,2,6,0,0,0,2,0,1,1,5,0,0,0
0,84,15,1,-2,12,3,2,3,0,9,8,-4,-4,3,2,1,1,0,7,22426,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,2,0,0,0
1,85,19,1,11,11,7,0,1,1,8,7,0,1467,3,2,1,1,0,7,12475,0,-4,-4,0,1,1,1,2,2,1,0,1,2,0,0,0,1,1,1,-4,0,0,0
1,86,18,1,9,9,7,2,1,1,10,8,0,500,7,2,2,1,0,3,1688,1,-4,-4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-3
1,87,15,1,11,12,7,2,2,0,10,9,-4,-4,3,2,1,1,0,7,12475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-5,-5,-5
1,88,21,1,12,12,1,1,2,0,12,12,1,4000,3,2,1,1,0,2,-2,-3,-4,-4,0,0,1,1,0,0,1,0,6,3,3,0,0,0,0,0,0,1,0,1
1,89,20,2,12,12,8,9,1,0,14,13,0,3000,7,2,2,0,0,5,29000,0,-4,-4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-4,-4,-4,0,0,0
1,90,20,2,5,4,2,7,5,0,15,14,0,1800,1,3,1,1,0,5,-2,-3,-4,-4,0,0,-3,0,0,0,0,0,0,3,0,0,0,0,-4,-4,2,0,0,0
1,91,15,1,5,3,2,7,5,0,9,8,-4,-4,5,3,2,1,0,5,-2,-3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4,-4,-4,0,0,0
1,92,16,1,12,12,1,7,5,0,10,9,-4,-4,5,3,2,1,0,4,-1,-3,0,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,-4,-4,2,0,0,0
0,93,14,1,-2,-2,1,7,1,0,8,7,-4,-4,1,3,1,1,0,4,8000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,1,0,0
1,94,22,1,10,10,2,7,2,0,10,10,0,2200,1,3,1,1,0,4,24000,0,-4,-4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-4,-4,1,0,0,0
1,95,18,1,10,-2,2,7,2,0,13,12,0,3000,5,3,2,1,0,4,24000,0,-4,-4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-4,-4,0,0,0,0
0,96,17,1,6,-2,2,7,2,0,11,11,0,3000,6,3,2,1,0,1,3000,1,-4,-4,0,0,0,1,0,0,2,2,6,5,0,1,0,0,1,0,-4,0,0,0
1,97,21,1,12,11,7,7,2,0,10,9,0,8000,5,3,2,1,0,1,8000,0,-4,-4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-4,-4,1,1,1,0
1,98,21,1,17,14,2,1,2,0,13,13,0,3900,6,3,2,1,0,1,6618,0,-4,-4,1,2,0,0,0,0,0,0,6,6,-1,-1,0,0,-4,-4,-4,1,1,0
1,99,21,1,12,16,1,7,2,0,14,14,0,8000,5,3,2,1,0,4,22500,0,-4,-4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-4,-4,1,-5,-5,-5
